,Region Name,Uncertainity bounds,1990.5,1995.5,2000.5,2005.5,2010.5,2015.5
9,Southern Asia,Lower,122.7,106.0,89.2,73.4,59.8,46.9
10,Southern Asia,Median,125.7,108.7,91.6,75.7,62.4,51.2
11,Southern Asia,Upper,128.9,111.6,94.2,78.2,65.3,56.3
