,Region Name,Uncertainity bounds,1990.5,1995.5,2000.5,2005.5,2010.5,2015.5
0,Caucasus and Central Asia,Lower,69.1,70.4,59.1,42.6,31.3,24.5
1,Caucasus and Central Asia,Median,72.6,73.9,63.2,49.1,38.9,31.7
2,Caucasus and Central Asia,Upper,76.6,78.1,68.3,57.8,51.7,47.3
