Year,1990.5,1995.5,2000.5,2005.5,2010.5,2015.5
East Asia,335631,171984.6,124506.066667,85641.9333333,54068.5333333,39765
South Asia,586254.958333,511668.583333,440567.416667,361236.208333,297240.416667,235746.5
Southeast Asia,82917.7,67660.2,52354.4,44282.8,35931,32535.2666667
Western Asia,20790.8095238,17673.547619,14321.9761905,11487.9285714,10164.1428571,8957.07142857
Caucacus and Central Asia,18850.3888889,15030.2222222,10846.4444444,9573.05555556,9317.33333333,8770.94444444
