,Region Name,Uncertainity bounds,1990.5,1995.5,2000.5,2005.5,2010.5,2015.5
12,Southern Asia excluding India,Lower,123.0,106.4,90.3,76.0,63.9,50.9
13,Southern Asia excluding India,Median,125.5,108.8,92.7,78.5,68.1,58.6
14,Southern Asia excluding India,Upper,128.4,111.4,95.2,81.3,73.4,68.9
