,Region Name,Uncertainity bounds,1990.5,1995.5,2000.5,2005.5,2010.5,2015.5
18,Western Asia,Lower,63.4,52.0,41.0,33.0,25.6,19.9
19,Western Asia,Median,65.8,54.0,42.7,34.6,27.4,22.3
20,Western Asia,Upper,68.6,56.1,44.6,36.3,29.7,25.8
