,ISO Code,Region Name,Uncertainity bounds,2000.5,2001.5,2002.5,2003.5,2004.5,2005.5,2006.5,2007.5,2008.5,2009.5,2010.5,2011.5,2012.5,2013.5,2014.5,2015.5
231,IND,India,Lower,2419099.0,2330986.0,2237414.0,2142833.0,2049997.0,1958264.0,1867976.0,1778007.0,1686946.0,1596333.0,1502976.0,1407887.0,1310599.0,1216123.0,1133035.0,1062748.0
232,,India,Median,2513120.0,2421920.0,2328088.0,2233293.0,2136392.0,2044482.0,1953399.0,1863783.0,1775492.0,1685035.0,1595122.0,1505869.0,1414819.0,1333577.0,1260762.0,1200998.0
233,,India,Upper,2613755.0,2519796.0,2424719.0,2328970.0,2232073.0,2138866.0,2047817.0,1957129.0,1867337.0,1777038.0,1690804.0,1607183.0,1526485.0,1451261.0,1389489.0,1347862.0
