,Region Name,Uncertainity bounds,1990.5,1995.5,2000.5,2005.5,2010.5,2015.5
15,South-eastern Asia,Lower,69.7,57.0,47.2,38.2,31.0,24.5
16,South-eastern Asia,Median,71.6,58.5,48.6,39.6,32.7,27.2
17,South-eastern Asia,Upper,73.8,60.2,50.2,41.3,34.8,30.6
