,Region Name,Uncertainity bounds,1990.5,1995.5,2000.5,2005.5,2010.5,2015.5
3,Eastern Asia,Lower,48.9,43.8,34.6,22.3,14.8,9.2
4,Eastern Asia,Median,52.9,46.4,36.5,23.7,15.7,10.9
5,Eastern Asia,Upper,57.8,49.2,38.7,25.1,16.7,12.8
