Year,1990.5,1995.5,2000.5,2005.5,2010.5,2015.5
Caucasus and Central Asia,72.7666666667,74.1333333333,63.5333333333,49.8333333333,40.6333333333,34.5
Eastern Asia,53.2,46.4666666667,36.6,23.7,15.7333333333,10.9666666667
Eastern Asia excluding China,27.4666666667,33.7666666667,30.9666666667,18.8,16.6,14.0333333333
Southern Asia excluding India,125.633333333,108.866666667,92.7333333333,78.6,68.4666666667,59.4666666667
Southern Eastern Asia,125.766666667,108.766666667,91.6666666667,75.7666666667,62.5,51.4666666667
Western Asia,65.9333333333,54.0333333333,42.7666666667,34.6333333333,27.5666666667,22.6666666667
Southern Asia,71.7,58.5666666667,48.6666666667,39.7,32.8333333333,27.4333333333
